,id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index
91,212510264,2001,3,regular,2001-09-08T15:30:00.000Z,,False,True,74080.0,3765.0,Husky Stadium,264,Washington,Pac-10,23,"[0, 6, 0, 17]",,130,Michigan,Big Ten,18,"[2, 7, 3, 6]",,
92,212512390,2001,3,regular,2001-09-08T16:00:00.000Z,,False,True,39804.0,,,2390,Miami,Big East,61,"[14, 13, 20, 14]",,164,Rutgers,Big East,0,"[0, 0, 0, 0]",,
93,212510218,2001,3,regular,2001-09-08T16:00:00.000Z,,False,False,19751.0,,,218,Temple,Big East,7,"[0, 0, 0, 7]",,2649,Toledo,Mid-American,33,"[7, 6, 6, 14]",,
94,212510036,2001,3,regular,2001-09-08T17:00:00.000Z,,False,False,26367.0,3761.0,Sonny Lubick Field at Hughes Stadium,36,Colorado State,Mountain West,35,[],,2440,Nevada,Western Athletic,18,[],,
95,212510052,2001,3,regular,2001-09-08T17:30:00.000Z,,False,True,79388.0,3697.0,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,29,"[3, 10, 13, 3]",,5,UAB,Conference USA,7,"[0, 0, 7, 0]",,
96,212510025,2001,3,regular,2001-09-08T17:30:00.000Z,,False,True,33043.0,3831.0,California Memorial Stadium,25,California,Pac-10,16,"[7, 0, 3, 6]",,252,BYU,Mountain West,44,"[0, 21, 20, 3]",,
97,212510120,2001,3,regular,2001-09-08T18:00:00.000Z,,False,False,42105.0,3665.0,Maryland Stadium,120,Maryland,ACC,50,"[13, 14, 14, 9]",,2199,Eastern Michigan,Mid-American,3,"[0, 0, 0, 3]",,
98,212510189,2001,3,regular,2001-09-08T18:00:00.000Z,,False,True,16183.0,3700.0,Doyt Perry Stadium,189,Bowling Green,Mid-American,35,[],,2084,Buffalo,Mid-American,0,[],,
99,212512309,2001,3,regular,2001-09-08T18:00:00.000Z,,False,False,6872.0,3696.0,Dix Stadium,2309,Kent State,Mid-American,38,[],,2083,Bucknell,,17,[],,
100,212510057,2001,3,regular,2001-09-08T18:00:00.000Z,,False,False,85011.0,,,57,Florida,SEC,55,"[7, 31, 14, 3]",,2433,Louisiana Monroe,Sun Belt,6,"[6, 0, 0, 0]",,
101,212510030,2001,3,regular,2001-09-08T18:30:00.000Z,,False,False,69959.0,477.0,Los Angeles Memorial Coliseum,30,USC,Pac-10,6,"[0, 0, 6, 0]",,2306,Kansas State,Big 12,10,"[3, 7, 0, 0]",,
102,212510154,2001,3,regular,2001-09-08T18:30:00.000Z,,False,False,29127.0,,,154,Wake Forest,ACC,20,"[3, 3, 14, 0]",,2026,Appalachian State,,10,"[0, 10, 0, 0]",,
103,212512567,2001,3,regular,2001-09-08T19:00:00.000Z,,False,False,24122.0,,,2567,SMU,Western Athletic,10,[],,2628,TCU,Conference USA,38,[],,
104,212510097,2001,3,regular,2001-09-08T19:00:00.000Z,,False,False,35214.0,3873.0,Papa John's Cardinal Stadium,97,Louisville,Conference USA,31,[],,2717,Western Carolina,,7,[],,
105,212512393,2001,3,regular,2001-09-08T19:00:00.000Z,,False,False,21723.0,3725.0,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,54,[],,2653,Troy,FBS Independents,17,[],,
106,212510276,2001,3,regular,2001-09-08T19:00:00.000Z,,False,False,0.0,3775.0,Joan C. Edwards Stadium,276,Marshall,Mid-American,49,[],,113,UMass,,20,[],,
107,212510239,2001,3,regular,2001-09-08T19:00:00.000Z,,False,False,28953.0,3724.0,Floyd Casey Stadium,239,Baylor,Big 12,24,"[0, 10, 7, 7]",,2032,Arkansas State,Sun Belt,3,"[0, 3, 0, 0]",,
108,212510066,2001,3,regular,2001-09-08T19:30:00.000Z,,False,False,47092.0,3772.0,Jack Trice Stadium,66,Iowa State,Big 12,45,"[17, 21, 7, 0]",,2460,Northern Iowa,,0,"[0, 0, 0, 0]",,
109,212510142,2001,3,regular,2001-09-08T19:30:00.000Z,,False,False,51689.0,3838.0,Faurot Field,142,Missouri,Big 12,40,"[9, 17, 7, 7]",,326,Texas State,,6,"[0, 0, 6, 0]",,
110,212510201,2001,3,regular,2001-09-08T19:30:00.000Z,,False,False,74930.0,3835.0,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,37,"[14, 7, 9, 7]",,249,North Texas,Sun Belt,10,"[3, 7, 0, 0]",,
111,212510061,2001,3,regular,2001-09-08T19:45:00.000Z,,False,True,86520.0,3917.0,Sanford Stadium,61,Georgia,SEC,9,"[3, 3, 0, 3]",,2579,South Carolina,SEC,14,"[7, 0, 0, 7]",,
112,212510197,2001,3,regular,2001-09-08T20:00:00.000Z,,False,False,41205.0,3646.0,Boone Pickens Stadium,197,Oklahoma State,Big 12,30,"[14, 6, 3, 7]",,2348,Louisiana Tech,Western Athletic,23,"[0, 13, 7, 3]",,
113,212510099,2001,3,regular,2001-09-08T20:00:00.000Z,,False,False,87756.0,3958.0,Tiger Stadium,99,LSU,SEC,31,"[7, 17, 0, 7]",,328,Utah State,FBS Independents,14,"[7, 0, 7, 0]",,
114,212510158,2001,3,regular,2001-09-08T20:00:00.000Z,,False,False,78118.0,3834.0,Memorial Stadium,158,Nebraska,Big 12,27,"[17, 10, 0, 0]",,87,Notre Dame,FBS Independents,10,"[0, 3, 0, 7]",,
115,212512641,2001,3,regular,2001-09-08T20:00:00.000Z,,False,False,48924.0,3784.0,Jones AT&T Stadium,2641,Texas Tech,Big 12,42,"[3, 18, 7, 14]",,167,New Mexico,Mountain West,30,"[7, 7, 3, 13]",,
116,212510242,2001,3,regular,2001-09-08T20:00:00.000Z,,False,False,17745.0,3895.0,Rice Stadium,242,Rice,Western Athletic,15,"[6, 3, 6, 0]",,150,Duke,ACC,13,"[0, 7, 0, 6]",,
117,212510235,2001,3,regular,2001-09-08T20:00:00.000Z,,False,False,24053.0,3805.0,Liberty Bowl Memorial Stadium,235,Memphis,Conference USA,43,[],,236,Chattanooga,,10,[],,
118,212510068,2001,3,regular,2001-09-08T20:05:00.000Z,,False,False,27697.0,3653.0,Albertsons Stadium,68,Boise State,Western Athletic,20,"[6, 0, 7, 7]",,265,Washington State,Pac-10,41,"[14, 14, 13, 0]",,
119,212510166,2001,3,regular,2001-09-08T21:00:00.000Z,,False,False,27238.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,Sun Belt,22,"[0, 9, 0, 13]",,204,Oregon State,Pac-10,27,"[14, 0, 3, 10]",,
120,212510008,2001,3,regular,2001-09-08T21:00:00.000Z,,False,True,70470.0,3887.0,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,3,"[3, 0, 0, 0]",,2633,Tennessee,SEC,13,"[0, 0, 0, 13]",,
